LOCATION,Country,Value,GDPPerCapita
AUS,Australia,7.3,49881.76371
AUT,Austria,7.1,45276.83144
BEL,Belgium,6.9,41984.10303
CAN,Canada,7.4,42315.60371
CZE,Czech Republic,6.7,18575.23203
DNK,Denmark,7.6,54663.99837
FIN,Finland,7.6,43784.28396
FRA,France,6.5,37037.37419
DEU,Germany,7,42107.51727
GRC,Greece,5.4,17911.79938
HUN,Hungary,5.6,13107.37791
ISL,Iceland,7.5,61987.92636
IRL,Ireland,7,62818.96636
ITA,Italy,6,30939.71425
JPN,Japan,5.9,39400.73936
KOR,Korea,5.9,29288.87044
LUX,Luxembourg,6.9,106826.7264
MEX,Mexico,6.5,8744.515559
NLD,Netherlands,7.4,46007.85292
NZL,New Zealand,7.3,40080.49411
NOR,Norway,7.6,70460.56053
POL,Poland,6.1,12447.43959
PRT,Portugal,5.4,19978.40121
SVK,Slovak Republic,6.2,16501.08385
ESP,Spain,6.3,26505.34322
SWE,Sweden,7.3,51965.15715
CHE,Switzerland,7.5,83073.28008
TUR,Turkey,5.5,10894.60338
GBR,United Kingdom,6.8,41499.5557
USA,United States,6.9,58021.4005
BRA,Brazil,6.4,8710.06329
CHL,Chile,6.5,13753.59215
EST,Estonia,5.7,18282.92339
ISR,Israel,7.2,37330.2618
LVA,Latvia,5.9,14322.02268
RUS,Russia,5.8,8704.898413
SVN,Slovenia,5.9,21663.64341
ZAF,South Africa,4.7,5756.965741
