"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","max","min","fog","NUM_REPORTS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0,0.229411764705882,0.269757639620653,0.176297747306562,0.247770069375619,0,0.596750369276219
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.000128766417718259,0.252941176470588,0.315068493150685,0.259549461312439,0.245787908820614,0,0.602658788774003
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.000257532835436518,0.350980392156863,0.419388830347734,0.264446620959843,0.406342913776016,0,0.613737075332349
"4",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.000386299253154777,0.412745098039216,0.449947312961012,0.34769833496572,0.442021803766105,0,0.688330871491876
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.000515065670873036,0.353921568627451,0.379346680716544,0.330068560235064,0.370664023785927,0,0.705317577548006
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.000643832088591295,0.396078431372549,0.442571127502634,0.330068560235064,0.442021803766105,0,0.568685376661743
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.000772598506309554,0.326470588235294,0.351949420442571,0.264446620959843,0.366699702675917,0,0.607090103397341
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.000901364924027814,0.279411764705882,0.297154899894626,0.226248775710088,0.297324083250743,0,0.627031019202363
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.00103013134174607,0.333333333333333,0.360379346680717,0.330068560235064,0.370664023785927,0,0.666174298375185
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.00115889775946433,0.38921568627451,0.420442571127503,0.372184133202742,0.417244796828543,0,0.659527326440177
"11",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.00128766417718259,0.4,0.467860906217071,0.343780607247796,0.45589692765114,0,0.751846381093058
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.00141643059490085,0.429411764705882,0.505795574288725,0.34769833496572,0.513379583746283,0,0.72082717872969
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.00154519701261911,0.43921568627451,0.506849315068493,0.352595494613124,0.506442021803766,0,0.579025110782866
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.00167396343033737,0.435294117647059,0.531085353003161,0.34769833496572,0.513379583746283,0,0.721565731166913
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.00180272984805563,0.395098039215686,0.46259220231823,0.314397649363369,0.45589692765114,0,0.676514032496307
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.00193149626577389,0.345098039215686,0.400421496311907,0.259549461312439,0.42418235877106,0,0.70384047267356
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.00206026268349215,0.324509803921569,0.390937829293994,0.294809010773751,0.366699702675917,0,0.696454948301329
"18",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.0021890291012104,0.358823529411765,0.40463645943098,0.277179236043095,0.42418235877106,0,0.649187592319055
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,0.00231779551892866,0.302941176470588,0.321390937829294,0.241919686581783,0.370664023785927,0,0.680206794682422
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,0.00244656193664692,0.270588235294118,0.292939936775553,0.255631733594515,0.297324083250743,0,0.568685376661743
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,0.00257532835436518,0.3,0.330874604847208,0.277179236043095,0.334985133795837,0,0.624076809453471
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,0.00270409477208344,0.38921568627451,0.434141201264489,0.330068560235064,0.42418235877106,0,0.675775480059084
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,0.0028328611898017,0.329411764705882,0.371970495258166,0.275220372184133,0.366699702675917,0,0.565731166912851
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,0.00296162760751996,0.307843137254902,0.305584826132771,0.245837414299706,0.32804757185332,0,0.62629246676514
"25",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,0.00309039402523822,0.346078431372549,0.388830347734457,0.294809010773751,0.375619425173439,0,0.709748892171344
