"","temp","dewp","max","min","NUM_REPORTS"
"5115",28.4,17.4,36,17.1,674
"5116",34.3,28.9,37,19.9,648
"5117",30.6,27.5,37,16,514
"5118",4.5,-5.8,14,-0.9,523
"5119",9.2,1.6,12,-0.9,503
"5122",10.3,0.7,19.9,-7.1,590
"5123",8,-1.7,21,0,647
"5124",27.7,16.7,34,21.9,650
"5125",26.3,19.8,34,19.9,607
"5126",19.3,10.8,30,17.1,612
"5127",13.5,6.3,23,5,675
"5128",23.5,15.9,36,5,763
"5129",29.3,23.2,36,17.1,710
"5130",36.8,28.6,44.1,21.9,741
"5131",38.7,30.6,44.1,30,698
"5132",34,28.6,43,27,709
"5133",36.6,32.2,43,27,793
"5134",34.2,30,39.9,33.1,746
"5135",32.2,23.8,36,30,752
"5136",31.7,24.3,34,30,800
"5137",35.1,27.7,45,30,756
"5138",34.1,30.2,37,28.4,646
"5139",25.9,18.1,37.9,21,656
"5140",29.3,22.5,33.1,21,675
"5141",28.7,18.5,36,24.1,647
"5142",36.1,26.1,39,24.1,704
"5143",29.7,13.3,39,23,714
"5144",30.3,20.6,39,23,636
"5145",31.8,28.6,39,23,562
"5147",16.7,10,27,8.1,512
"5148",25.4,19.8,30,8.1,577
"5149",11.4,0.2,30,3,572
"5150",20.2,10.6,32,3,696
"5151",33.6,27.1,43,15.1,679
"5152",38.5,34.5,44.1,25,615
"5153",29.3,24.6,42.1,27,607
"5154",28.4,19.1,33.1,25,629
"5155",32.6,24.3,37.9,25,606
"5156",18.3,4.6,37.9,10.9,611
"5157",14.5,3.9,25,7,632
"5158",21.1,8.7,28.9,7,597
"5159",7.3,-4.4,28.9,0,552
"5160",12.8,-4.8,19,0,539
"5161",18.2,7.3,21.9,8.1,597
"5162",9.6,-2.8,21.9,5,511
"5164",7,-5,19.9,-5.1,651
"5165",23.4,13.5,32,19,652
"5166",24.3,11.9,33.1,15.1,593
"5167",7.7,-9.3,30,0,572
"5168",13.9,2.1,30.9,0,628
"5169",24.1,9.9,32,6.1,572
"5170",20.2,12.3,28,16,518
"5171",10,-3.5,21.9,0,638
"5172",11,-1.6,23,0,545
"5173",22,15.9,27,19,759
"5174",23.8,12.4,34,16,658
"5175",30.7,22.9,37,16,636
"5176",26.6,14.8,37,19.9,562
"5177",15.2,-2.2,33.1,9,612
"5178",14.7,3.4,27,6.1,712
"5179",34.1,23.6,46,25,697
"5180",37.1,28.2,46,26.1,625
"5181",40,27.1,52,28,726
"5182",43.9,38.1,54,28,754
"5183",44.7,34.4,54,36,746
"5184",44.9,27.7,57.9,33.1,752
"5185",50.6,31.5,64.9,33.1,814
"5186",52.5,38.6,64.9,41,798
"5187",47.6,33.3,64,34,779
"5188",61.3,39,73.9,51.1,779
"5189",44.1,25.4,73.9,36,692
"5190",38.8,14.2,50,30,690
"5191",44.4,16.9,50,30,717
"5192",44,33.1,52,39,777
"5193",43,34.9,52,37.9,689
"5194",34.8,22.1,50,30.9,656
"5195",31.4,25.2,37,30,592
"5196",32.4,21.6,39,25,639
"5197",40.7,34.3,43,25,724
"5198",39.7,28.4,46,35.1,684
"5199",30.8,16.8,46,25,725
"5200",29.2,10.7,37,21,657
"5201",34.9,19.8,48.9,21,619
"5202",49.1,31,64,28,719
"5203",50.1,35.7,64,37,693
"5204",55.9,36.2,73.9,41,929
"5205",60.6,43.2,73.9,41,794
"5206",52,31.8,68,39,710
"5207",42.9,24.1,61,30.9,694
"5208",56.3,23.8,68,48,673
"5209",55,33.2,69.1,46.9,676
"5210",43.6,39,46.9,41,603
"5211",47.2,44.2,54,39.9,679
"5212",54.6,51.3,73.9,43,648
"5213",54.5,41.6,73.9,42.1,714
"5214",50.5,33.7,64.9,39,720
"5215",58.8,32.1,71.1,39,773
"5216",63.3,40.4,71.1,46.9,735
"5217",58.2,24.9,69.1,46,767
"5218",56,26.8,66.9,44.1,802
"5219",54.8,37.9,66.9,44.1,688
"5220",62.4,45.9,80.1,46.9,785
"5221",62.3,43.8,80.1,48.9,769
"5222",57.5,38.3,69.1,50,703
"5223",50.8,44.9,69.1,46.9,743
"5224",47.6,29.3,57.9,41,663
"5225",42.2,23.6,46.9,37,682
"5226",44.5,22.5,55.9,34,731
"5227",47.5,24,60.1,34,761
"5228",45.9,39.3,60.1,35.1,695
"5229",47.1,30.3,57,39,718
"5230",49.1,31.6,57,39,721
"5231",49.1,34.3,60.1,37.9,719
"5232",52.3,35.4,64,37.9,766
"5233",48,34.8,64,42.1,666
"5235",64.9,38.4,79,39.9,687
"5236",70.1,42.9,82,53.1,745
"5237",67.8,55,82,60.1,779
"5238",56.1,48.3,73.9,52,697
"5239",60.1,53.5,82,51.1,739
"5240",71.2,52.9,87.1,51.1,826
"5241",73.9,61.8,87.1,57,807
"5242",60.4,56.3,68,51.8,685
"5243",50.3,46.9,66.9,46.9,741
"5244",59.9,54.5,71.1,46.9,749
"5245",54.2,39.5,71.1,50,757
"5246",49.6,35.3,57.9,45,768
"5247",55.3,40.4,69.1,45,755
