"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","temp","dewp","max","min","NUM_REPORTS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.4,17.4,36,17.1,115
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34.3,28.9,37,19.9,138
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.6,27.5,37,16,109
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.5,-5.8,14,-0.9,96
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.2,1.6,12,-0.9,72
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5.4,-6.8,12,1,86
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4,-7.8,14,-7.1,80
"8",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.3,0.7,19.9,-7.1,94
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,-1.7,21,0,110
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.7,16.7,34,21.9,112
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.3,19.8,34,19.9,78
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.3,10.8,30,17.1,83
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.5,6.3,23,5,95
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.5,15.9,36,5,87
"15",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.3,23.2,36,17.1,97
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.8,28.6,44.1,21.9,141
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.7,30.6,44.1,30,117
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,28.6,43,27,119
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.6,32.2,43,27,108
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.2,30,39.9,33.1,98
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32.2,23.8,36,30,88
"22",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31.7,24.3,34,30,111
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.1,27.7,45,30,117
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.1,30.2,37,28.4,121
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.9,18.1,37.9,21,81
"26",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.3,22.5,33.1,21,86
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.7,18.5,36,24.1,76
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.1,26.1,39,24.1,87
"29",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.7,13.3,39,23,102
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.3,20.6,39,23,110
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.8,28.6,39,23,105
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.1,11.5,33.1,10,75
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.4,19.8,30,8.1,81
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.4,0.2,30,3,79
"35",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.2,10.6,32,3,89
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.6,27.1,43,15.1,122
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.5,34.5,44.1,25,110
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.3,24.6,42.1,27,77
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.4,19.1,33.1,25,76
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.6,24.3,37.9,25,79
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.3,4.6,37.9,10.9,89
"42",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.5,3.9,25,7,87
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.1,8.7,28.9,7,124
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.3,-4.4,28.9,0,131
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12.8,-4.8,19,0,91
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18.2,7.3,21.9,8.1,97
"47",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9.6,-2.8,21.9,5,91
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.3,-14.1,10.9,-5.1,78
"49",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,-5,19.9,-5.1,97
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,23.4,13.5,32,19,109
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,24.3,11.9,33.1,15.1,124
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7.7,-9.3,30,0,83
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13.9,2.1,30.9,0,86
"54",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24.1,9.9,32,6.1,80
"55",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,-3.5,21.9,0,87
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11,-1.6,23,0,99
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,22,15.9,27,19,149
"58",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,23.8,12.4,34,16,106
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,30.7,22.9,37,16,102
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,26.6,14.8,37,19.9,89
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,15.2,-2.2,33.1,9,99
"62",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,14.7,3.4,27,6.1,106
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,34.1,23.6,46,25,117
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,37.1,28.2,46,26.1,119
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,40,27.1,52,28,109
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,43.9,38.1,54,28,110
"67",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,44.7,34.4,54,36,95
"68",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,44.9,27.7,57.9,33.1,112
"69",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,50.6,31.5,64.9,33.1,103
"70",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,52.5,38.6,64.9,41,138
"71",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,47.6,33.3,64,34,151
"72",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,61.3,39,73.9,51.1,106
"73",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,44.1,25.4,73.9,36,94
"74",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,38.8,14.2,50,30,96
"75",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,44.4,16.9,50,30,99
"76",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,44,33.1,52,39,120
"77",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,43,34.9,52,37.9,120
"78",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34.8,22.1,50,30.9,133
"79",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,31.4,25.2,37,30,110
"80",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,32.4,21.6,39,25,91
"81",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,40.7,34.3,43,25,110
"82",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,39.7,28.4,46,35.1,98
"83",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,30.8,16.8,46,25,107
"84",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,29.2,10.7,37,21,116
"85",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,34.9,19.8,48.9,21,124
"86",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,49.1,31,64,28,121
