"","day","temp","dewp","max","min","NUM_REPORTS"
"5115",5,28.4,17.4,36,17.1,115
"5116",6,34.3,28.9,37,19.9,138
"5117",7,30.6,27.5,37,16,109
"5118",1,4.5,-5.8,14,-0.9,96
"5119",2,9.2,1.6,12,-0.9,72
"5120",3,5.4,-6.8,12,1,86
"5121",4,0.4,-7.8,14,-7.1,80
"5122",5,10.3,0.7,19.9,-7.1,94
"5123",6,8,-1.7,21,0,110
"5124",7,27.7,16.7,34,21.9,112
"5125",1,26.3,19.8,34,19.9,78
"5126",2,19.3,10.8,30,17.1,83
"5127",3,13.5,6.3,23,5,95
"5128",4,23.5,15.9,36,5,87
"5129",5,29.3,23.2,36,17.1,97
"5130",6,36.8,28.6,44.1,21.9,141
"5131",7,38.7,30.6,44.1,30,117
"5132",1,34,28.6,43,27,119
"5133",2,36.6,32.2,43,27,108
"5134",3,34.2,30,39.9,33.1,98
"5135",4,32.2,23.8,36,30,88
"5136",5,31.7,24.3,34,30,111
"5137",6,35.1,27.7,45,30,117
"5138",7,34.1,30.2,37,28.4,121
"5139",1,25.9,18.1,37.9,21,81
"5140",2,29.3,22.5,33.1,21,86
"5141",3,28.7,18.5,36,24.1,76
"5142",4,36.1,26.1,39,24.1,87
"5143",5,29.7,13.3,39,23,102
"5144",6,30.3,20.6,39,23,110
"5145",7,31.8,28.6,39,23,105
"5146",1,18.1,11.5,33.1,10,75
"5148",3,25.4,19.8,30,8.1,81
"5149",4,11.4,0.2,30,3,79
"5150",5,20.2,10.6,32,3,89
"5151",6,33.6,27.1,43,15.1,122
"5152",7,38.5,34.5,44.1,25,110
"5153",1,29.3,24.6,42.1,27,77
"5154",2,28.4,19.1,33.1,25,76
"5155",3,32.6,24.3,37.9,25,79
"5156",4,18.3,4.6,37.9,10.9,89
"5157",5,14.5,3.9,25,7,87
"5158",6,21.1,8.7,28.9,7,124
"5159",7,7.3,-4.4,28.9,0,131
"5160",1,12.8,-4.8,19,0,91
"5161",2,18.2,7.3,21.9,8.1,97
"5162",3,9.6,-2.8,21.9,5,91
"5163",4,1.3,-14.1,10.9,-5.1,78
"5164",5,7,-5,19.9,-5.1,97
"5165",6,23.4,13.5,32,19,109
"5166",7,24.3,11.9,33.1,15.1,124
"5167",1,7.7,-9.3,30,0,83
"5168",2,13.9,2.1,30.9,0,86
"5169",3,24.1,9.9,32,6.1,80
"5171",5,10,-3.5,21.9,0,87
"5172",6,11,-1.6,23,0,99
"5173",7,22,15.9,27,19,149
"5174",1,23.8,12.4,34,16,106
"5175",2,30.7,22.9,37,16,102
"5176",3,26.6,14.8,37,19.9,89
"5177",4,15.2,-2.2,33.1,9,99
"5178",5,14.7,3.4,27,6.1,106
"5179",6,34.1,23.6,46,25,117
"5180",7,37.1,28.2,46,26.1,119
"5181",1,40,27.1,52,28,109
"5182",2,43.9,38.1,54,28,110
"5183",3,44.7,34.4,54,36,95
"5184",4,44.9,27.7,57.9,33.1,112
"5185",5,50.6,31.5,64.9,33.1,103
"5186",6,52.5,38.6,64.9,41,138
"5187",7,47.6,33.3,64,34,151
"5188",1,61.3,39,73.9,51.1,106
"5189",2,44.1,25.4,73.9,36,94
"5190",3,38.8,14.2,50,30,96
"5191",4,44.4,16.9,50,30,99
"5192",5,44,33.1,52,39,120
"5193",6,43,34.9,52,37.9,120
"5194",7,34.8,22.1,50,30.9,133
"5195",1,31.4,25.2,37,30,110
"5196",2,32.4,21.6,39,25,91
"5197",3,40.7,34.3,43,25,110
"5198",4,39.7,28.4,46,35.1,98
"5199",5,30.8,16.8,46,25,107
"5200",6,29.2,10.7,37,21,116
"5201",7,34.9,19.8,48.9,21,124
"5202",1,49.1,31,64,28,121
"5203",2,50.1,35.7,64,37,112
"5204",3,55.9,36.2,73.9,41,140
"5205",4,60.6,43.2,73.9,41,120
"5206",5,52,31.8,68,39,125
"5207",6,42.9,24.1,61,30.9,127
"5208",7,56.3,23.8,68,48,149
"5209",1,55,33.2,69.1,46.9,116
"5210",2,43.6,39,46.9,41,92
"5211",3,47.2,44.2,54,39.9,112
"5212",4,54.6,51.3,73.9,43,96
"5213",5,54.5,41.6,73.9,42.1,99
"5214",6,50.5,33.7,64.9,39,123
"5215",7,58.8,32.1,71.1,39,166
"5216",1,63.3,40.4,71.1,46.9,119
"5217",2,58.2,24.9,69.1,46,118
"5218",3,56,26.8,66.9,44.1,131
"5219",4,54.8,37.9,66.9,44.1,111
"5220",5,62.4,45.9,80.1,46.9,111
"5221",6,62.3,43.8,80.1,48.9,135
"5222",7,57.5,38.3,69.1,50,145
"5223",1,50.8,44.9,69.1,46.9,125
"5224",2,47.6,29.3,57.9,41,106
"5225",3,42.2,23.6,46.9,37,104
"5226",4,44.5,22.5,55.9,34,99
"5227",5,47.5,24,60.1,34,117
"5228",6,45.9,39.3,60.1,35.1,130
