day,year,mo,da,report_date,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,NUM_REPORTS
1,2001,01,01,2001-01-01,20.7,13.9,1030.1,9.7,5.9,12.0,999.9,26.6,14.0,0.0,16.1,0,288
2,2001,01,02,2001-01-02,14.1,8.6,1036.5,9.9,7.4,12.0,999.9,19.9,7.0,0.0,15.0,0,146
3,2001,01,03,2001-01-03,16.5,12.9,1025.5,5.5,10.7,15.9,20.0,28.4,6.8,0.0,14.2,0,162
4,2001,01,04,2001-01-04,26.5,22.8,1018.9,6.3,8.2,15.0,22.9,28.9,23.0,0.0,14.2,0,131
5,2001,01,05,2001-01-05,32.8,25.7,1004.0,9.1,13.4,19.0,26.0,37.4,26.6,0.35,13.0,0,159
6,2001,01,06,2001-01-06,26.8,19.0,1009.2,10.0,8.7,16.9,22.9,35.6,19.4,0.05,11.8,0,179
7,2001,01,07,2001-01-07,31.1,25.0,1009.4,8.4,7.8,13.0,999.9,35.6,26.6,0.0,11.8,0,176
1,2001,01,08,2001-01-08,24.0,16.4,1018.3,10.0,8.3,12.0,999.9,28.9,19.0,0.0,11.0,0,121
2,2001,01,09,2001-01-09,19.2,11.2,1026.1,10.0,9.2,14.0,999.9,25.0,12.0,0.0,11.0,0,124
3,2001,01,10,2001-01-10,24.7,17.2,1023.3,10.0,10.2,15.0,19.0,35.6,19.4,0.0,11.0,0,137
4,2001,01,11,2001-01-11,30.4,22.9,1020.5,9.5,6.8,9.9,15.9,39.9,24.1,0.0,11.0,0,149
5,2001,01,12,2001-01-12,31.5,27.4,1022.4,5.6,4.2,7.0,999.9,37.0,28.0,0.0,9.1,0,140
6,2001,01,13,2001-01-13,34.5,31.0,1023.8,4.2,6.0,12.0,999.9,37.4,33.8,0.0,7.9,0,196
7,2001,01,14,2001-01-14,35.5,31.1,1015.0,3.4,8.4,12.0,999.9,37.9,33.1,0.18,5.9,0,177
1,2001,01,15,2001-01-15,35.1,33.4,1013.4,3.7,10.6,15.9,19.0,37.4,33.8,0.06,3.9,0,156
2,2001,01,16,2001-01-16,31.0,26.9,1021.6,6.3,10.3,15.9,22.9,34.0,28.0,0.0,3.9,0,142
3,2001,01,17,2001-01-17,25.9,21.0,1026.6,7.4,7.1,11.1,999.9,28.4,24.8,0.0,3.9,0,134
4,2001,01,18,2001-01-18,23.8,20.1,1019.7,5.9,8.4,12.0,16.9,32.0,19.0,0.0,3.1,0,113
5,2001,01,19,2001-01-19,27.3,21.4,1018.8,6.9,9.3,15.9,25.1,30.2,24.8,0.0,3.1,0,129
6,2001,01,20,2001-01-20,21.6,13.5,1025.0,9.1,8.8,13.0,999.9,26.6,19.4,0.0,3.1,0,195
7,2001,01,21,2001-01-21,18.3,10.8,1026.7,9.7,7.0,11.1,999.9,28.0,12.0,0.0,3.1,0,186
1,2001,01,22,2001-01-22,21.3,14.4,1030.0,6.4,4.4,8.0,999.9,30.2,15.8,0.0,3.1,0,132
2,2001,01,23,2001-01-23,30.4,24.2,1023.1,6.0,7.2,9.9,999.9,35.6,24.8,0.0,3.1,0,152
3,2001,01,24,2001-01-24,24.3,18.3,1021.3,7.5,9.0,16.9,999.9,30.0,19.0,0.0,3.1,0,114
4,2001,01,25,2001-01-25,22.1,12.0,1030.7,9.7,9.4,14.0,999.9,27.0,15.1,0.0,3.1,0,112
5,2001,01,26,2001-01-26,26.0,19.9,1017.9,6.9,10.6,16.9,22.0,32.0,19.9,0.0,3.9,0,132
6,2001,01,27,2001-01-27,25.1,17.2,1022.0,9.0,11.4,15.0,22.9,32.0,19.0,0.0,3.9,0,162
7,2001,01,28,2001-01-28,20.0,12.0,1027.0,9.6,8.0,12.0,999.9,28.9,15.1,0.0,3.9,0,171
1,2001,01,29,2001-01-29,32.7,30.3,1016.1,4.6,7.7,12.0,999.9,39.2,26.6,0.41,2.0,0,142
2,2001,01,30,2001-01-30,37.7,35.5,995.4,6.8,9.3,20.0,27.0,43.0,33.1,0.41,1.2,0,131
3,2001,01,31,2001-01-31,34.4,30.9,1005.1,6.3,9.8,14.0,999.9,36.0,33.1,0.01,1.2,0,130
4,2001,02,01,2001-02-01,28.8,21.9,1018.3,7.4,9.2,14.0,999.9,34.0,21.9,0.0,999.9,0,162
5,2001,02,02,2001-02-02,8.6,-0.2,1026.2,9.1,11.8,16.9,20.0,26.6,-0.4,0.0,999.9,0,143
6,2001,02,03,2001-02-03,18.0,11.0,1023.9,9.4,9.7,13.0,22.9,30.2,10.4,99.99,999.9,0,161
7,2001,02,04,2001-02-04,33.8,28.9,1015.1,7.9,6.5,12.0,999.9,36.0,28.9,0.01,999.9,0,190
1,2001,02,05,2001-02-05,30.3,25.9,1016.2,5.4,8.5,14.0,15.9,34.0,28.0,0.0,999.9,0,172
2,2001,02,06,2001-02-06,32.6,27.9,1015.7,5.3,6.7,12.0,999.9,39.0,30.0,0.12,999.9,0,136
3,2001,02,07,2001-02-07,28.1,23.9,1025.0,4.6,5.0,13.0,999.9,36.0,21.0,0.0,999.9,1,121
4,2001,02,08,2001-02-08,42.3,37.1,1017.4,5.1,7.1,13.0,999.9,51.8,35.6,0.06,999.9,0,140
5,2001,02,09,2001-02-09,48.4,47.0,1006.5,4.8,13.4,19.0,28.0,53.6,32.0,0.72,1.2,0,143
6,2001,02,10,2001-02-10,20.8,14.4,1031.7,8.9,11.0,21.0,33.0,32.0,14.0,0.0,1.2,0,174
7,2001,02,11,2001-02-11,19.0,8.7,1037.0,10.0,7.1,11.1,999.9,28.4,14.0,0.0,1.2,0,159
1,2001,02,12,2001-02-12,30.2,19.6,1027.7,10.0,8.6,12.0,999.9,39.2,24.8,0.0,999.9,0,157
2,2001,02,13,2001-02-13,35.8,29.4,1026.6,8.1,5.3,8.9,999.9,39.9,33.1,0.0,999.9,0,134
3,2001,02,14,2001-02-14,36.6,34.6,1016.0,2.9,6.8,15.9,999.9,37.9,33.1,0.06,999.9,1,141
4,2001,02,15,2001-02-15,31.3,25.3,1018.2,9.9,9.4,14.0,999.9,34.0,30.0,0.14,999.9,0,138
5,2001,02,16,2001-02-16,30.9,23.5,1021.5,8.6,7.7,14.0,20.0,33.8,26.6,0.0,999.9,0,119
6,2001,02,17,2001-02-17,15.8,1.2,1033.6,10.0,12.7,18.1,22.9,26.1,8.1,0.0,999.9,0,172
7,2001,02,18,2001-02-18,16.9,2.8,1034.3,10.0,9.4,12.0,18.1,28.4,8.6,0.0,999.9,0,182
1,2001,02,19,2001-02-19,34.4,22.2,1018.7,10.0,14.0,15.9,27.0,45.0,28.0,0.0,999.9,0,143
2,2001,02,20,2001-02-20,35.3,24.4,1020.7,7.2,7.4,14.0,21.0,39.2,28.4,0.0,999.9,0,131
3,2001,02,21,2001-02-21,18.4,-1.6,1033.1,10.0,11.5,15.0,22.9,28.4,10.4,0.0,999.9,0,140
4,2001,02,22,2001-02-22,23.1,16.1,1024.4,8.2,8.2,14.0,21.0,28.4,17.6,0.0,999.9,0,120
5,2001,02,23,2001-02-23,25.5,16.0,1025.4,9.3,11.2,19.0,25.1,28.9,18.0,0.01,999.9,0,155
6,2001,02,24,2001-02-24,33.4,28.4,1021.3,5.3,11.6,20.0,25.1,39.9,26.1,0.06,999.9,0,174
7,2001,02,25,2001-02-25,43.6,37.5,1003.3,8.9,21.6,30.9,46.0,57.2,30.2,1.22,999.9,0,178
1,2001,02,26,2001-02-26,31.5,22.0,1027.5,10.0,9.5,19.0,27.0,41.0,23.0,0.0,999.9,0,161
2,2001,02,27,2001-02-27,29.3,16.1,1031.1,10.0,8.4,11.1,999.9,37.4,24.8,0.0,999.9,0,150
3,2001,02,28,2001-02-28,21.0,-0.6,1028.3,10.0,8.7,13.0,14.0,28.9,12.2,0.0,999.9,0,146
4,2001,03,01,2001-03-01,28.7,12.3,1016.6,10.0,11.8,16.9,22.0,42.8,21.2,0.0,999.9,0,190
5,2001,03,02,2001-03-02,35.4,27.9,1008.1,8.0,11.8,18.1,27.0,42.8,32.0,0.0,999.9,0,166
6,2001,03,03,2001-03-03,36.4,28.5,1010.2,5.7,2.9,7.0,999.9,48.2,26.6,0.0,999.9,0,171
7,2001,03,04,2001-03-04,33.0,25.2,1013.6,8.3,11.3,21.0,26.0,39.2,28.4,0.0,999.9,0,193
1,2001,03,05,2001-03-05,26.1,12.3,1019.7,9.9,13.6,22.9,28.9,30.0,19.0,0.0,999.9,0,170
2,2001,03,06,2001-03-06,27.1,14.7,1022.9,10.0,13.2,15.9,23.9,33.8,21.2,0.0,999.9,0,160
3,2001,03,07,2001-03-07,32.6,18.3,1020.7,10.0,8.2,18.1,25.1,46.0,23.0,0.0,999.9,0,154
4,2001,03,08,2001-03-08,31.8,21.4,1015.2,8.7,11.7,15.9,21.0,37.9,30.0,0.0,999.9,0,178
5,2001,03,09,2001-03-09,31.6,18.4,1019.3,10.0,8.3,13.0,19.0,39.2,24.8,0.0,999.9,0,170
6,2001,03,10,2001-03-10,35.6,21.6,1017.0,10.0,8.2,21.0,27.0,50.0,24.8,0.0,999.9,0,192
7,2001,03,11,2001-03-11,37.4,26.9,1016.7,9.3,10.3,15.0,20.0,48.0,30.0,0.08,999.9,0,199
1,2001,03,12,2001-03-12,38.6,32.7,1010.3,6.7,10.3,14.0,20.0,48.2,30.2,0.17,999.9,0,158
2,2001,03,13,2001-03-13,38.0,31.0,999.9,8.4,14.2,21.0,29.9,50.0,32.0,0.0,999.9,0,129
3,2001,03,14,2001-03-14,40.4,30.7,1010.6,9.5,10.0,18.1,22.0,51.8,30.2,0.0,999.9,0,141
4,2001,03,15,2001-03-15,42.9,38.5,1009.7,6.0,10.6,20.0,26.0,48.9,37.0,0.04,999.9,0,157
5,2001,03,16,2001-03-16,34.8,31.3,1011.2,2.7,16.8,22.9,30.9,37.9,32.0,0.45,3.1,0,168
6,2001,03,17,2001-03-17,33.6,26.8,1022.6,5.8,10.2,18.1,22.0,37.4,30.2,0.06,3.1,0,163
7,2001,03,18,2001-03-18,34.0,23.1,1031.2,10.0,4.3,8.9,999.9,46.0,24.1,0.08,3.1,0,188
