"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","year","dayindex","temp","dewp","min","max","NUM_REPORTS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,1,20.7,13.9,14,26.6,2
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,2,26.5,22.8,23,28.9,2
"3",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,3,32.8,25.7,26.6,37.4,1
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,4,26.8,19,19.4,35.6,4
"5",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,5,31.1,25,26.6,35.6,1
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,6,19.2,11.2,12,25,2
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,7,24.7,17.2,19.4,35.6,2
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,8,30.4,22.9,24.1,39.9,5
"9",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,9,31.5,27.4,28,37,1
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,10,34.5,31,33.8,37.4,1
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,11,35.5,31.1,33.1,37.9,2
"12",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,12,35.1,33.4,33.8,37.4,1
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,13,31,26.9,28,34,3
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,14,23.8,20.1,19,32,1
"15",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,15,27.3,21.4,24.8,30.2,1
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,16,21.6,13.5,19.4,26.6,2
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,17,18.3,10.8,12,28,3
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,18,21.3,14.4,15.8,30.2,1
"19",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,19,22.1,12,15.1,27,1
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,20,25.1,17.2,19,32,1
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,21,20,12,15.1,28.9,1
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,22,32.7,30.3,26.6,39.2,1
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,23,37.7,35.5,33.1,43,2
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,24,34.4,30.9,33.1,36,1
"25",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,25,28.8,21.9,21.9,34,1
"26",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,26,8.6,-0.2,-0.4,26.6,1
"27",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,27,18,11,10.4,30.2,1
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,28,30.3,25.9,28,34,1
"29",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,29,48.4,47,32,53.6,4
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,30,19,8.7,14,28.4,2
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,31,30.2,19.6,24.8,39.2,1
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,32,36.6,34.6,33.1,37.9,2
"33",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,33,31.3,25.3,30,34,2
"34",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,34,30.9,23.5,26.6,33.8,1
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,35,16.9,2.8,8.6,28.4,1
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,36,35.3,24.4,28.4,39.2,1
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,37,23.1,16.1,17.6,28.4,1
"38",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,38,25.5,16,18,28.9,2
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,39,33.4,28.4,26.1,39.9,3
"40",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,40,43.6,37.5,30.2,57.2,1
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,41,29.3,16.1,24.8,37.4,1
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,42,21,-0.6,12.2,28.9,1
"43",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,43,28.7,12.3,21.2,42.8,2
"44",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,44,36.4,28.5,26.6,48.2,3
"45",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,45,33,25.2,28.4,39.2,2
"46",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,46,26.1,12.3,19,30,1
"47",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,47,32.6,18.3,23,46,1
"48",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2001,48,31.8,21.4,30,37.9,1
"49",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,49,31.6,18.4,24.8,39.2,1
"50",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,50,35.6,21.6,24.8,50,5
"51",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,51,37.4,26.9,30,48,1
"52",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,52,38.6,32.7,30.2,48.2,1
"53",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001,53,38,31,32,50,1
"54",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,54,33.6,26.8,30.2,37.4,1
"55",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,55,37.5,21.5,30.2,46.4,1
"56",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2001,56,40.6,24.6,33.1,50,1
"57",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,57,42.6,23.5,30.9,54,2
"58",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,58,43.9,31.6,35.1,53.1,2
"59",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2001,59,33.5,16.9,27,46.9,4
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2001,60,23,10.8,19.4,28.4,2
"61",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2001,61,23.8,6.7,17.6,33.8,2
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2001,62,37.3,18.9,28.4,50,2
"63",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2001,63,42.8,31.3,37,51.1,1
"64",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,64,40.3,26.4,30.9,48.9,4
"65",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,65,45,25.8,34,62.1,1
"66",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,66,42.4,31.7,37.4,51.8,3
"67",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,67,44.6,31.3,39.2,53.6,1
"68",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,68,50.1,31.4,39.9,63,1
"69",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,69,57.5,54,46,64.9,2
"70",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,70,63.5,50,45,82.9,1
"71",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,71,64.7,41.5,48.2,78.8,1
"72",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,72,49.3,44.3,46.4,53.6,1
"73",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,73,61.9,56,51.1,77,3
"74",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,74,58,45.2,48.2,69.8,2
"75",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,75,49.7,37.2,42.8,57.2,4
"76",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,76,53.5,36.1,45,66,2
"77",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,77,50.6,36,44.6,55.4,2
"78",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,78,39.7,27.2,32,52,2
"79",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,79,35.8,24.4,30,45,3
"80",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2001,80,42,23.8,30.2,55.4,3
"81",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2001,81,52.5,28.4,41,69.1,3
"82",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2001,82,64.7,49.7,53.6,78.8,4
"83",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2001,83,70.4,61.1,62.6,78.8,2
"84",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2001,84,64.9,55.2,53.6,80.6,4
"85",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2001,85,68.1,54.9,50,79,3
"86",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2001,86,50.6,30.4,44.1,62.1,1
