"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","dayindex","temp","max","min","dewp","slp","fog","sndp","NUM_REPORTS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.322033898305085,0.269811320754717,0.343183984747378,0.375609756097561,0.740614334470989,0,0.731818181818182,0.693002257336343
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000128749839062701,0.259887005649718,0.206603773584906,0.276453765490944,0.32390243902439,0.849829351535837,0,0.681818181818182,0.250564334085779
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.000257499678125402,0.282485875706215,0.286792452830189,0.274547187797903,0.365853658536585,0.662116040955632,0,0.645454545454545,0.340857787810384
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000386249517188104,0.376647834274953,0.291509433962264,0.428979980934223,0.462439024390244,0.549488054607508,0,0.645454545454545,0.297968397291196
"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.000514999356250805,0.435969868173258,0.371698113207547,0.463298379408961,0.490731707317073,0.295221843003413,0,0.590909090909091,0.343115124153499
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.000643749195313506,0.379472693032015,0.354716981132076,0.394661582459485,0.425365853658537,0.383959044368601,0,0.536363636363636,0.467268623024831
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000772499034376207,0.419962335216573,0.354716981132076,0.463298379408961,0.48390243902439,0.387372013651877,0,0.536363636363636,0.419864559819413
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.000901248873438908,0.353107344632768,0.291509433962264,0.390848427073403,0.4,0.539249146757678,0,0.5,0.36568848758465
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00102999871250161,0.307909604519774,0.254716981132075,0.324118207816969,0.349268292682927,0.672354948805459,0,0.5,0.401805869074492
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00115874855156431,0.35969868173258,0.354716981132076,0.394661582459485,0.40780487804878,0.62457337883959,0,0.5,0.424379232505643
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00128749839062701,0.413370998116761,0.395283018867924,0.439466158245949,0.463414634146341,0.57679180887372,0,0.5,0.487584650112867
"12",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00141624822968971,0.423728813559322,0.367924528301887,0.476644423260248,0.507317073170732,0.609215017064846,0,0.413636363636364,0.501128668171558
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00154499806875241,0.451977401129944,0.371698113207547,0.531935176358437,0.542439024390244,0.633105802047781,0,0.359090909090909,0.539503386004515
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00167374790781512,0.461393596986817,0.376415094339623,0.525262154432793,0.543414634146342,0.482935153583618,0,0.268181818181818,0.510158013544018
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00180249774687782,0.457627118644068,0.371698113207547,0.531935176358437,0.565853658536585,0.455631399317406,0,0.177272727272727,0.379232505643341
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00193124758594052,0.419020715630885,0.339622641509434,0.476644423260248,0.502439024390244,0.595563139931741,0,0.177272727272727,0.417607223476298
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00205999742500322,0.370998116760829,0.286792452830189,0.446139180171592,0.444878048780488,0.680887372013651,0,0.177272727272727,0.408577878103837
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00218874726406592,0.351224105461394,0.320754716981132,0.390848427073403,0.43609756097561,0.563139931740615,0,0.140909090909091,0.474040632054176
"19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00231749710312862,0.384180790960452,0.30377358490566,0.446139180171592,0.448780487804878,0.54778156996587,0,0.140909090909091,0.334085778781038
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00244624694219132,0.330508474576271,0.269811320754717,0.394661582459485,0.371707317073171,0.653583617747441,0,0.140909090909091,0.440180586907449
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00257499678125402,0.299435028248588,0.283018867924528,0.324118207816969,0.345365853658537,0.682593856655291,0,0.140909090909091,0.395033860045147
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00270374662031672,0.327683615819209,0.30377358490566,0.360343183984747,0.380487804878049,0.738907849829352,0,0.140909090909091,0.329571106094808
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00283249645937943,0.413370998116761,0.354716981132076,0.446139180171592,0.47609756097561,0.621160409556315,0,0.140909090909091,0.388261851015801
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00296124629844213,0.35593220338983,0.30188679245283,0.390848427073403,0.418536585365854,0.590443686006825,0,0.140909090909091,0.340857787810384
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00308999613750483,0.335216572504708,0.273584905660377,0.353670162059104,0.357073170731707,0.75085324232082,0,0.140909090909091,0.363431151241535
"26",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00321874597656753,0.371939736346516,0.320754716981132,0.399428026692088,0.434146341463415,0.532423208191126,0,0.177272727272727,0.424379232505643
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00334749581563023,0.36346516007533,0.320754716981132,0.390848427073403,0.40780487804878,0.602389078498294,0,0.177272727272727,0.460496613995485
"28",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00347624565469293,0.315442561205273,0.291509433962264,0.353670162059104,0.357073170731707,0.687713310580205,0,0.177272727272727,0.406320541760722
"29",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00360499549375563,0.435028248587571,0.388679245283019,0.463298379408961,0.535609756097561,0.501706484641639,0,0.0909090909090909,0.442437923250564
"30",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00373374533281833,0.48210922787194,0.424528301886792,0.525262154432793,0.586341463414634,0.148464163822525,0,0.0545454545454545,0.408577878103837
"31",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00386249517188104,0.451035781544256,0.358490566037736,0.525262154432793,0.541463414634146,0.313993174061434,0,0.0545454545454545,0.442437923250564
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00399124501094374,0.398305084745763,0.339622641509434,0.418493803622498,0.453658536585366,0.539249146757678,0,0,0.440180586907449
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00411999485000644,0.208097928436911,0.269811320754717,0.205910390848427,0.238048780487805,0.6740614334471,0,0,0.395033860045147
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00424874468906914,0.296610169491525,0.30377358490566,0.308865586272641,0.347317073170732,0.63481228668942,0,0,0.367945823927765
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00437749452813184,0.445386064030132,0.358490566037736,0.485224022878932,0.521951219512195,0.484641638225256,0,0,0.530474040632054
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00450624436719454,0.412429378531073,0.339622641509434,0.476644423260248,0.492682926829268,0.503412969283277,0,0,0.485327313769752
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00463499420625724,0.434086629001883,0.386792452830189,0.495710200190658,0.51219512195122,0.494880546075086,0,0,0.476297968397291
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00476374404531994,0.391713747645951,0.358490566037736,0.409914204003813,0.473170731707317,0.653583617747441,1,0,0.392776523702032
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00489249388438264,0.525423728813559,0.507547169811321,0.549094375595806,0.601951219512195,0.523890784982935,0,0,0.519187358916479
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00502124372344535,0.58286252354049,0.524528301886792,0.514775977121068,0.698536585365854,0.337883959044368,0,0.0545454545454545,0.404063205417607
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00514999356250805,0.322975517890772,0.320754716981132,0.343183984747378,0.380487804878049,0.767918088737203,0,0.0545454545454545,0.386004514672686
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00527874340157075,0.306026365348399,0.286792452830189,0.343183984747378,0.324878048780488,0.858361774744028,0,0.0545454545454545,0.408577878103837
"43",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00540749324063345,0.411487758945386,0.388679245283019,0.446139180171592,0.431219512195122,0.699658703071673,0,0,0.404063205417607
"44",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00553624307969615,0.464218455743879,0.395283018867924,0.525262154432793,0.526829268292683,0.680887372013651,0,0,0.444695259593679
"45",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00566499291875885,0.471751412429379,0.376415094339623,0.525262154432793,0.577560975609756,0.5,1,0,0.336343115124153
"46",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00579374275782155,0.421845574387947,0.339622641509434,0.495710200190658,0.486829268292683,0.537542662116042,0,0,0.465011286681716
"47",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00592249259688425,0.418079096045198,0.337735849056604,0.463298379408961,0.469268292682927,0.593856655290103,0,0,0.451467268623025
"48",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00605124243594695,0.275894538606403,0.265094339622642,0.286939942802669,0.251707317073171,0.800341296928327,0,0,0.442437923250564
"49",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00617999227500966,0.286252354048964,0.286792452830189,0.291706387035272,0.267317073170732,0.812286689419795,0,0,0.45823927765237
"50",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00630874211407236,0.451035781544256,0.443396226415094,0.476644423260248,0.456585365853658,0.546075085324233,0,0,0.327313769751693
"51",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00643749195313506,0.459510357815443,0.388679245283019,0.48045757864633,0.478048780487805,0.580204778156997,0,0,0.45823927765237
"52",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00656624179219776,0.300376647834275,0.286792452830189,0.308865586272641,0.224390243902439,0.791808873720135,0,0,0.422121896162528
"53",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00669499163126046,0.344632768361582,0.286792452830189,0.377502383222116,0.397073170731707,0.643344709897613,0,0,0.383747178329571
"54",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.00682374147032316,0.367231638418079,0.291509433962264,0.381315538608198,0.39609756097561,0.660409556313995,0,0,0.437923250564334
"55",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.00695249130938586,0.441619585687382,0.395283018867924,0.458531935176358,0.517073170731707,0.590443686006825,0,0,0.435665914221219
"56",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.00708124114844856,0.537664783427495,0.558490566037736,0.497616777883699,0.605853658536585,0.283276450511944,0,0,0.483069977426637
"57",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.00720999098751127,0.423728813559322,0.405660377358491,0.428979980934223,0.454634146341463,0.696245733788396,0,0,0.489841986455982
"58",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00733874082657397,0.4030131826742,0.371698113207547,0.446139180171592,0.397073170731707,0.757679180887371,0,0,0.489841986455982
"59",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.00746749066563667,0.324858757062147,0.291509433962264,0.32602478551001,0.234146341463415,0.709897610921501,0,0,0.4627539503386
"60",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0.00759624050469937,0.397363465160075,0.422641509433962,0.411820781696854,0.36,0.51023890784983,0,0,0.553047404063205
"61",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.00772499034376207,0.46045197740113,0.422641509433962,0.514775977121068,0.51219512195122,0.36518771331058,0,0,0.623024830699774
"62",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.00785374018282477,0.469868173258004,0.473584905660377,0.463298379408961,0.518048780487805,0.401023890784984,0,0,0.54176072234763
"63",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.00798249002188747,0.437853107344633,0.388679245283019,0.48045757864633,0.485853658536585,0.459044368600683,0,0,0.534988713318284
"64",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0.00811123986095017,0.372881355932203,0.30188679245283,0.390848427073403,0.36,0.563139931740615,0,0,0.340857787810384
"65",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.00823998970001288,0.382297551789077,0.337735849056604,0.411820781696854,0.383414634146341,0.617747440273037,0,0,0.519187358916479
"66",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.00836873953907558,0.434086629001883,0.452830188679245,0.428979980934223,0.418536585365854,0.580204778156997,0,0,0.571106094808126
