"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Mon","Tue","Wed","Thu","Fri","Sat","Sun","temp","dewp","max","min","NUM_REPORTS"
"1",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,28.4,17.4,36,17.1,154
"2",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,34.3,28.9,37,19.9,166
"3",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,30.6,27.5,37,16,149
"4",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4.5,-5.8,14,-0.9,127
"5",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10.3,0.7,19.9,-7.1,129
"6",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,-1.7,21,0,153
"7",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27.7,16.7,34,21.9,169
"8",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26.3,19.8,34,19.9,127
"9",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,19.3,10.8,30,17.1,140
"10",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13.5,6.3,23,5,133
"11",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23.5,15.9,36,5,137
"12",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.3,23.2,36,17.1,158
"13",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,36.8,28.6,44.1,21.9,198
"14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.7,30.6,44.1,30,187
"15",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,34,28.6,43,27,158
"16",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,36.6,32.2,43,27,186
"17",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,34.2,30,39.9,33.1,171
"18",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,32.2,23.8,36,30,170
"19",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,31.7,24.3,34,30,199
"20",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,35.1,27.7,45,30,174
"21",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34.1,30.2,37,28.4,178
"22",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25.9,18.1,37.9,21,157
"23",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,29.3,22.5,33.1,21,148
"24",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28.7,18.5,36,24.1,141
"25",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36.1,26.1,39,24.1,169
"26",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,29.7,13.3,39,23,160
"27",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,30.3,20.6,39,23,170
"28",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,31.8,28.6,39,23,138
"29",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,18.1,11.5,33.1,10,124
"30",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16.7,10,27,8.1,135
"31",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25.4,19.8,30,8.1,153
"32",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11.4,0.2,30,3,148
"33",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,20.2,10.6,32,3,158
"34",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,33.6,27.1,43,15.1,167
"35",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38.5,34.5,44.1,25,160
"36",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,29.3,24.6,42.1,27,133
"37",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.4,19.1,33.1,25,148
"38",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,32.6,24.3,37.9,25,142
"39",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,18.3,4.6,37.9,10.9,153
"40",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,14.5,3.9,25,7,139
"41",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,21.1,8.7,28.9,7,159
"42",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7.3,-4.4,28.9,0,153
